ID,Label,Con_Name
560,mu. Cet,CON Dien Cet
561,lam Cet,CON Dien Cet
562,alf Cet,CON Dien Cet
563,kap01 Cet,CON Dien Cet
564,gam Cet,CON Dien Cet_eq
565,alf Cet,CON Dien Cet_eq
566,lam Cet,CON Dien Cet_eq
567,mu. Cet,CON Dien Cet_eq
568,ksi02 Cet,CON Dien Cet_eq
569,nu. Cet,CON Dien Cet_eq
570,del Cet,CON Dien Cet_eq
571,kap01 Cet,CON Dien Cet_eq
572,75 Cet,CON Dien Cet_eq
573,omi Cet,CON Dien Cet_eq
574,eps Cet,CON Dien Cet_eq
575,pi. Cet,CON Dien Cet_eq
576,sig Cet,CON Dien Cet_eq
577,rho Cet,CON Dien Cet_eq
578,zet Cet,CON Dien Cet_eq
579,tet Cet,CON Dien Cet_eq
580,eta Cet,CON Dien Cet_eq
581,tau Cet,CON Dien Cet_eq
582,ups Cet,CON Dien Cet_eq
583,bet Cet,CON Dien Cet_eq
584,iot Cet,CON Dien Cet_eq
585,bet CMa,CON Dien CMa
586,alf CMa,CON Dien CMa
587,gam CMa,CON Dien CMa
588,omi02 CMa,CON Dien CMa
589,omi01 CMa,CON Dien CMa
590,iot CMa,CON Dien CMa
591,mu. CMa A,CON Dien CMa
592,eps CMa,CON Dien CMa
593,zet CMa,CON Dien CMa
594,lam CMa,CON Dien CMa
595,eta CMa,CON Dien CMa
596,del CMa,CON Dien CMa
597,sig CMa,CON Dien CMa
598,bet CMa,CON Dien CMa_eq
599,alf CMa,CON Dien CMa_eq
600,gam CMa,CON Dien CMa_eq
601,iot CMa,CON Dien CMa_eq
602,mu. CMa A,CON Dien CMa_eq
603,omi02 CMa,CON Dien CMa_eq
604,del CMa,CON Dien CMa_eq
605,eta CMa,CON Dien CMa_eq
606,eps CMa,CON Dien CMa_eq
607,sig CMa,CON Dien CMa_eq
608,omi01 CMa,CON Dien CMa_eq
609,nu.02 CMa,CON Dien CMa_eq
610,zet CMa,CON Dien CMa_eq
611,lam CMa,CON Dien CMa_eq
612,alf CMi,CON Dien CMi
613,bet CMi,CON Dien CMi
614,kap Cnc,CON Dien Cnc
615,alf Cnc,CON Dien Cnc
616,del Cnc,CON Dien Cnc
617,bet Cnc,CON Dien Cnc
618,gam Cnc,CON Dien Cnc
619,bet Col,CON Dien Col
620,eps Col,CON Dien Col
621,alf Col,CON Dien Col
622,gam Col,CON Dien Col
623,gam Com,CON Dien Com
624,14 Com,CON Dien Com
625,16 Com,CON Dien Com
626,17 Com,CON Dien Com
627,23 Com,CON Dien Com
628,13 Com,CON Dien Com
629,12 Com,CON Dien Com
630,7 Com,CON Dien Com
631,gam Com,CON Dien Com_eq
632,14 Com,CON Dien Com_eq
633,16 Com,CON Dien Com_eq
634,17 Com,CON Dien Com_eq
635,23 Com,CON Dien Com_eq
636,13 Com,CON Dien Com_eq
637,12 Com,CON Dien Com_eq
638,7 Com,CON Dien Com_eq
639,39 Com,CON Dien Com_eq
640,alf Com,CON Dien Com_eq
641,36 Com,CON Dien Com_eq
642,bet Com,CON Dien Com_eq
643,31 Com,CON Dien Com_eq
644,37 Com,CON Dien Com_eq
645,35 Com,CON Dien Com_eq
646,11 Com,CON Dien Com_eq
647,tet CrB,CON Dien CrB
648,bet CrB,CON Dien CrB
649,alf CrB,CON Dien CrB
650,gam CrB A,CON Dien CrB
651,del CrB,CON Dien CrB
652,eps CrB,CON Dien CrB
653,tet CrB,CON Dien CrB_eq
654,bet CrB,CON Dien CrB_eq
655,alf CrB,CON Dien CrB_eq
656,gam CrB A,CON Dien CrB_eq
657,del CrB,CON Dien CrB_eq
658,eps CrB,CON Dien CrB_eq
659,iot CrB,CON Dien CrB_eq
660,alf Crt,CON Dien Crt
661,bet Crt,CON Dien Crt
662,del Crt,CON Dien Crt
663,eps Crt,CON Dien Crt
664,tet Crt,CON Dien Crt
665,eta Crt,CON Dien Crt
666,zet Crt,CON Dien Crt
667,gam Crt,CON Dien Crt
668,nu. Hya,CON Dien Crt
669,alf Crt,CON Dien Crt_eq
670,bet Crt,CON Dien Crt_eq
671,del Crt,CON Dien Crt_eq
672,eps Crt,CON Dien Crt_eq
673,tet Crt,CON Dien Crt_eq
674,eta Crt,CON Dien Crt_eq
675,zet Crt,CON Dien Crt_eq
676,gam Crt,CON Dien Crt_eq
677,nu. Hya,CON Dien Crt_eq
678,alf01 Cru,CON Dien Cru
679,gam Cru,CON Dien Cru
680,bet Cru,CON Dien Cru
681,del Cru,CON Dien Cru
682,alf Crv,CON Dien Crv
683,bet Crv,CON Dien Crv
684,del Crv,CON Dien Crv
685,gam Crv,CON Dien Crv
686,eps Crv,CON Dien Crv
687,alf Crv,CON Dien Crv_eq
688,bet Crv,CON Dien Crv_eq
689,del Crv,CON Dien Crv_eq
690,gam Crv,CON Dien Crv_eq
691,eps Crv,CON Dien Crv_eq
692,alf02 CVn,CON Dien CVn
693,bet CVn,CON Dien CVn
694,alf Cyg,CON Dien Cyg
695,gam Cyg,CON Dien Cyg
696,phi Cyg,CON Dien Cyg
697,bet Cyg A,CON Dien Cyg
698,mu. Cyg,CON Dien Cyg
699,zet Cyg,CON Dien Cyg
700,eps Cyg,CON Dien Cyg
701,del Cyg,CON Dien Cyg
702,tet Cyg,CON Dien Cyg
703,kap Cyg,CON Dien Cyg
704,omi02 Cyg,CON Dien Cyg
705,ksi Cyg,CON Dien Cyg
706,sig Cyg,CON Dien Cyg
707,nu. Cyg,CON Dien Cyg
708,ups Cyg,CON Dien Cyg
709,lam Cyg,CON Dien Cyg
710,rho Cyg,CON Dien Cyg
711,pi.02 Cyg,CON Dien Cyg
712,alf Cyg,CON Dien Cyg_eq
